Cuenta,Nombre_Cuenta,Ano,Mes,Tiempo,Semestre,Trimestre,Activa,Reactiva,Relacion,Cumple,Cumple_bin,Pago,Temperatura,Vacaciones,Excedente
167382131,Central_1,2022,1,1,1,1,7680,1280,0.16666666666666666,Sí,1,5533810,27.9550595238095,1,0
167382131,Central_1,2022,2,2,1,1,13760,1600,0.11627906976744186,Sí,1,9841440,27.5989211309524,0,0
167382131,Central_1,2022,3,3,1,1,11360,1600,0.14084507042253522,Sí,1,8274920,27.2953293010752,0,0
167382131,Central_1,2022,4,4,1,2,18720,3040,0.1623931623931624,Sí,1,13767380,27.4437847222222,0,0
167382131,Central_1,2022,5,5,1,2,22720,3680,0.1619718309859155,Sí,1,17120310,27.4693548387097,0,0
167382131,Central_1,2022,6,6,1,2,21120,4000,0.1893939393939394,Sí,1,15640170,26.9806597222222,1,0
167382131,Central_1,2022,7,7,2,3,20000,3840,0.192,Sí,1,15536470,27.4723118279569,1,0
167382131,Central_1,2022,8,8,2,3,22080,2880,0.13043478260869565,Sí,1,17383210,28.766061827957,0,0
167382131,Central_1,2022,9,9,2,3,26080,3200,0.12269938650306748,Sí,1,21135610,28.1711458333334,0,0
167382131,Central_1,2022,10,10,2,4,26720,4000,0.1497005988023952,Sí,1,22303680,27.3299059139785,0,0
167382131,Central_1,2022,11,11,2,4,28000,4000,0.14285714285714285,Sí,1,23522590,26.8700694444445,0,0
167382131,Central_1,2022,12,12,2,4,22720,3680,0.1619718309859155,Sí,1,18955680,27.2946908602151,1,0
167382131,Central_1,2023,1,13,1,1,12480,2400,0.19230769230769232,Sí,1,10411770,26.8767809139784,1,0
167382131,Central_1,2023,2,14,1,1,27200,3840,0.1411764705882353,Sí,1,23147920,28.8405133928571,0,0
167382131,Central_1,2023,3,15,1,1,34080,3680,0.107981220657277,Sí,1,29519230,27.2683467741935,0,0
167382131,Central_1,2023,4,16,1,2,26240,3040,0.11585365853658537,Sí,1,23114390,27.4665972222222,0,0
167382131,Central_1,2023,5,17,1,2,35840,4480,0.125,Sí,1,31748020,28.4166666666666,0,0
167382131,Central_1,2023,6,18,1,2,21120,1760,0.08333333333333333,Sí,1,18971800,28.9079861111111,1,0
167382131,Central_1,2023,7,19,2,3,18240,800,0.043859649122807015,Sí,1,16301090,29.0793346774194,1,0
167382131,Central_1,2023,8,20,2,3,32640,3840,0.11764705882352941,Sí,1,29503300,30.53625672043,0,0
167382131,Central_1,2023,9,21,2,3,41600,4480,0.1076923076923077,Sí,1,37790470,31.2740624999999,0,0
167382131,Central_1,2023,10,22,2,4,39680,4320,0.10887096774193548,Sí,1,36338870,30.6813508064518,0,0
167382131,Central_1,2023,11,23,2,4,33280,4000,0.1201923076923077,Sí,1,31615030,28.8109027777778,0,0
167382131,Central_1,2023,12,24,2,4,19520,2240,0.11475409836065574,Sí,1,20091360,28.8266465053764,1,0
167382131,Central_1,2024,1,25,1,1,18560,3680,0.19827586206896552,Sí,1,19742650,30.0812900641025,1,0
167382131,Central_1,2024,2,26,1,1,35360,4320,0.12217194570135746,Sí,1,37549090,30.1744252873562,0,0
167382131,Central_1,2024,3,27,1,1,34080,4160,0.12206572769953052,Sí,1,35691850,30.6373655913979,0,0
167382131,Central_1,2024,4,28,1,2,33760,4000,0.11848341232227488,Sí,1,35926700,29.3636458333333,0,0
167382131,Central_1,2024,5,29,1,2,32000,4480,0.14,Sí,1,34499610,28.5051411290322,0,0
167382131,Central_1,2024,6,30,1,2,15840,2880,0.18181818181818182,Sí,1,17053920,28.4969791666667,1,0
167382131,Central_1,2024,7,31,2,3,11520,2400,0.20833333333333334,Sí,1,12300520,29.0219791666667,1,0
167382131,Central_1,2024,8,32,2,3,29440,4160,0.14130434782608695,Sí,1,32594160,29.9840389784946,0,0
167382131,Central_1,2024,9,33,2,3,37920,4480,0.11814345991561181,Sí,1,41997250,31.5828663793105,0,0
167382131,Central_1,2024,10,34,2,4,32640,4320,0.1323529411764706,Sí,1,34988960,29.8887768817204,0,0
167382131,Central_1,2024,11,35,2,4,31360,4480,0.14285714285714285,Sí,1,33244590,27.575,0,0
167382131,Central_1,2024,12,36,2,4,19520,2880,0.14754098360655737,Sí,1,20715210,27.8675067204301,1,0
167382131,Central_1,2025,1,37,1,1,15520,2400,0.15463917525773196,Sí,1,16947570,28.4809475806451,1,0
167382131,Central_1,2025,2,38,1,1,25920,2880,0.1111111111111111,Sí,1,28752600,28.0261904761904,0,0
167382131,Central_1,2025,3,39,1,1,28320,3680,0.12994350282485875,Sí,1,29373160,27.3907930107528,0,0
167382131,Central_1,2025,4,40,1,2,24800,3200,0.12903225806451613,Sí,1,26808020,27.6582175925927,0,0
167382131,Central_1,2025,5,41,1,2,28800,3520,0.12222222222222222,Sí,1,31530660,27.4926523297491,0,0
167382131,Central_1,2025,6,42,1,2,19680,2560,0.13008130081300814,Sí,1,21864920,27.6680555555555,1,0
167382131,Central_1,2025,7,43,2,3,16320,2400,0.14705882352941177,Sí,1,18876400,28.7328853046594,1,0
167382131,Central_1,2025,8,44,2,3,27520,3040,0.11046511627906977,Sí,1,29706150,28.9784050179211,0,0
167383918,Central_4,2022,1,1,1,1,7320,1920,0.26229508196721313,Sí,1,5289370,27.9550595238095,1,0
167383918,Central_4,2022,2,2,1,1,14880,3480,0.23387096774193547,Sí,1,10744210,27.5989211309524,0,0
167383918,Central_4,2022,3,3,1,1,12360,2760,0.22330097087378642,Sí,1,9003350,27.2953293010752,0,0
167383918,Central_4,2022,4,4,1,2,19560,4320,0.22085889570552147,Sí,1,14385510,27.4437847222222,0,0
